wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei
2015;0;Schweiz;1;FDP;PLR;PLR;FDP;56;463;142;321;33;7;26;30;7;23;3;0;3;413445.31517;16.39678712;15.104533083;1.2922540372;0
2015;0;Schweiz;2;CVP;PDC;PPD;CVP;55;442;151;291;27;9;18;28;9;19;-1;0;-1;293652.36747;11.645930381;12.30401273;-0.658082349;0
2015;0;Schweiz;3;SP;PS;PS;SP;57;482;226;256;43;25;18;46;21;25;-3;4;-7;475074.39668;18.840928807;18.722161414;0.1187673922;0
2015;0;Schweiz;4;SVP;UDC;UDC;SVP;53;433;82;351;65;11;54;54;6;48;11;5;6;740966.80071;29.385929526;26.556254079;2.8296754464;1
2015;0;Schweiz;7;EVP;PEV;PEV;EVP;15;214;88;126;2;2;0;2;2;0;0;0;0;47770.03749;1.8945072219;1.9973982108;-0.102890989;0
2015;0;Schweiz;8;CSP;PCS;PCS;CSP;3;17;7;10;0;0;0;0;0;0;0;0;0;5272.4314282;0.2090988398;0.2557743755;-0.046675536;0
2015;0;Schweiz;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;10;124;46;78;1;0;1;0;0;0;1;0;1;21573.866544;0.8555958529;0.8794652613;-0.023869408;0
2015;0;Schweiz;13;GPS;PES;PES;GPS;41;401;203;198;11;5;6;15;6;9;-4;-1;-3;177944.17526;7.0570705579;8.4328081411;-1.375737583;0
2015;0;Schweiz;14;SD;DS;DS;SD;5;46;10;36;0;0;0;0;0;0;0;0;0;3079.2490564;0.1221196357;0.2003102175;-0.078190582;0
2015;0;Schweiz;16;EDU;UDF;UDF;EDU;18;218;61;157;0;0;0;0;0;0;0;0;0;29939.007839;1.1873481694;1.2714234639;-0.084075294;0
2015;0;Schweiz;18;Lega;Lega;Lega;Lega;1;8;2;6;2;1;1;2;1;1;0;0;0;25220.777909;1.0002283524;0.8047605286;0.1954678237;0
2015;0;Schweiz;31;GLP;PVL;PVL;GLP;30;362;119;243;7;3;4;12;4;8;-5;-1;-4;116640.41232;4.6258306487;5.3808827796;-0.755052131;0
2015;0;Schweiz;32;BDP;PBD;PBD;BDP;21;227;74;153;7;1;6;9;2;7;-2;-1;-1;103476.3631;4.1037589143;5.4154012867;-1.311642372;0
2015;0;Schweiz;33;MCR;MCR;MCR;MCR;3;15;3;12;1;0;1;1;0;1;0;0;0;8183.9989634;0.3245684106;0.4386220785;-0.114053668;0
2015;0;Schweiz;35;Übrige;Autres;Rimanenti;Others;54;336;94;242;1;0;1;1;0;1;0;0;0;59262.800059;2.3502975631;2.2361923498;0.1141052132;0
2015;1;Zürich;1;FDP;PLR;PLR;FDP;2;70;24;46;5;2;3;4;1;3;1;1;0;65541.168516;15.321626513;11.643245998;3.6783805145;0
2015;1;Zürich;2;CVP;PDC;PPD;CVP;2;70;25;45;2;2;0;2;2;0;0;0;0;17897.235757;4.1838552483;5.0302889422;-0.846433694;0
2015;1;Zürich;3;SP;PS;PS;SP;2;69;34;35;9;5;4;7;3;4;2;2;0;91508.239784;21.391975525;19.272491107;2.1194844182;0
2015;1;Zürich;4;SVP;UDC;UDC;SVP;2;66;14;52;12;2;10;11;1;10;1;1;0;131246.23282;30.681567111;29.839178508;0.8423886029;1
2015;1;Zürich;7;EVP;PEV;PEV;EVP;2;70;30;40;1;1;0;1;1;0;0;0;0;13335.723463;3.1175058181;3.0699451418;0.0475606763;0
2015;1;Zürich;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;31;6;25;0;0;0;0;0;0;0;0;0;1026.6532965;0.2400017992;0.2388023693;0.0011994299;0
2015;1;Zürich;13;GPS;PES;PES;GPS;3;86;44;42;2;0;2;3;0;3;-1;0;-1;29469.966711;6.8892244905;8.3943145124;-1.505090022;0
2015;1;Zürich;14;SD;DS;DS;SD;1;18;3;15;0;0;0;0;0;0;0;0;0;753.42664786;0.176129324;0.2814549254;-0.105325601;0
2015;1;Zürich;16;EDU;UDF;UDF;EDU;4;86;26;60;0;0;0;0;0;0;0;0;0;8815.5081964;2.0608104366;2.1682677969;-0.10745736;0
2015;1;Zürich;31;GLP;PVL;PVL;GLP;3;105;31;74;3;1;2;4;1;3;-1;0;-1;34905.350531;8.1598597679;11.485052054;-3.325192286;0
2015;1;Zürich;32;BDP;PBD;PBD;BDP;1;35;12;23;1;1;0;2;1;1;-1;0;-1;15497.212186;3.6227992646;5.2774674309;-1.654668166;0
2015;1;Zürich;35;Übrige;Autres;Rimanenti;Others;12;167;55;112;0;0;0;0;0;0;0;0;0;17772.282094;4.1546447018;3.142761828;1.0118828738;0
2015;2;Bern / Berne;1;FDP;PLR;PLR;FDP;2;50;20;30;2;1;1;2;1;1;0;0;0;33032.95407;9.3306312993;8.655596161;0.6750351383;0
2015;2;Bern / Berne;2;CVP;PDC;PPD;CVP;2;50;16;34;0;0;0;0;0;0;0;0;0;6495.5252346;1.8347541952;2.0665816931;-0.231827498;0
2015;2;Bern / Berne;3;SP;PS;PS;SP;4;88;43;45;6;3;3;6;3;3;0;0;0;69663.135654;19.677351065;19.327499371;0.349851694;0
2015;2;Bern / Berne;4;SVP;UDC;UDC;SVP;2;46;10;36;9;2;7;8;2;6;1;0;1;117263.25169;33.122686034;28.98804432;4.1346417143;1
2015;2;Bern / Berne;7;EVP;PEV;PEV;EVP;2;50;24;26;1;1;0;1;1;0;0;0;0;15249.593672;4.3074662871;4.1735028031;0.1339634839;0
2015;2;Bern / Berne;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;24;8;16;0;0;0;0;0;0;0;0;0;1843.9128947;0.5208396237;0.3426402001;0.1781994236;0
2015;2;Bern / Berne;13;GPS;PES;PES;GPS;2;50;28;22;2;2;0;3;2;1;-1;0;-1;30116.423749;8.506815511;9.4147215258;-0.907906015;0
2015;2;Bern / Berne;14;SD;DS;DS;SD;1;13;4;9;0;0;0;0;0;0;0;0;0;1571.1499661;0.4437938254;0.5609540343;-0.117160209;0
2015;2;Bern / Berne;16;EDU;UDF;UDF;EDU;2;50;11;39;0;0;0;0;0;0;0;0;0;10059.63557;2.8414882395;3.1039151869;-0.262426947;0
2015;2;Bern / Berne;31;GLP;PVL;PVL;GLP;3;71;26;45;2;1;1;2;1;1;0;0;0;21233.799344;5.9977909436;5.2913410196;0.706449924;0
2015;2;Bern / Berne;32;BDP;PBD;PBD;BDP;2;50;20;30;3;0;3;4;1;3;-1;-1;0;41619.460069;11.756012979;14.880293569;-3.12428059;0
2015;2;Bern / Berne;35;Übrige;Autres;Rimanenti;Others;3;25;2;23;0;0;0;0;0;0;0;0;0;5878.1580913;1.6603699976;3.1949101167;-1.534540119;0
2015;3;Luzern;1;FDP;PLR;PLR;FDP;2;19;6;13;2;0;2;2;0;2;0;0;0;25130.601162;18.465891575;18.374054577;0.0918369978;0
2015;3;Luzern;2;CVP;PDC;PPD;CVP;3;21;7;14;3;2;1;3;1;2;0;1;-1;32460.178703;23.851643523;27.11012371;-3.258480187;0
2015;3;Luzern;3;SP;PS;PS;SP;3;28;13;15;1;1;0;1;1;0;0;0;0;18452.790995;13.55905637;11.46693374;2.0921226295;0
2015;3;Luzern;4;SVP;UDC;UDC;SVP;4;29;4;25;3;1;2;2;1;1;1;0;1;38806.696535;28.515046098;25.098854214;3.4161918841;1
2015;3;Luzern;7;EVP;PEV;PEV;EVP;1;5;2;3;0;0;0;0;0;0;0;0;0;858.71135071;0.6309785665;0.7456409962;-0.11466243;0
2015;3;Luzern;13;GPS;PES;PES;GPS;2;20;11;9;1;0;1;1;0;1;0;0;0;9625.3717566;7.0726947628;8.2754600471;-1.202765284;0
2015;3;Luzern;14;SD;DS;DS;SD;1;1;0;1;0;0;0;0;0;0;0;0;0;118.78806653;0.0872851207;0.2127855842;-0.125500463;0
2015;3;Luzern;31;GLP;PVL;PVL;GLP;2;20;6;14;0;0;0;1;0;1;-1;0;-1;7851.234072;5.7690636275;6.121093214;-0.352029587;0
